Agent_Age,Agent_Rating,Weather,Traffic,Vehicle,Area,Delivery_Time,Category,Distance_km,Order_to_Pickup_Minutes,Order_Day,Order_DayName,Order_Month
25,4.1,Sandstorms,Jam ,motorcycle ,Metropolitian ,180.0,Toys,12.23513612361146,5.0,16,Wednesday,3
31,4.7,Sandstorms,Low ,van,Metropolitian ,130.0,Books,14.47987310843363,15.0,10,Thursday,3
37,5.0,Sandstorms,Low ,motorcycle ,Metropolitian ,100.0,Clothing,1.554950180979803,15.0,11,Friday,3
33,4.3,Windy,Jam ,scooter ,Metropolitian ,195.0,Snacks,20.140905255245308,15.0,27,Sunday,3
25,4.0,Cloudy,High ,motorcycle ,Metropolitian ,170.0,Jewelry,6.106736943461254,5.0,26,Saturday,3
29,4.5,Sunny,Medium ,van,Metropolitian ,75.0,Outdoors,17.04198395713032,15.0,27,Sunday,3
27,5.0,Stormy,Jam ,motorcycle ,Urban ,90.0,Cosmetics,4.4650683810240395,5.0,5,Tuesday,4
35,4.3,Cloudy,Low ,scooter ,Metropolitian ,190.0,Electronics,13.66073757837138,10.0,12,Saturday,3
32,4.0,Windy,Jam ,motorcycle ,Metropolitian ,235.0,Cosmetics,13.94563444308926,15.0,16,Wednesday,3
23,4.8,Windy,Low ,van,Urban ,60.0,Jewelry,16.82479191121949,10.0,2,Saturday,4
31,4.8,Sandstorms,Low ,motorcycle ,Metropolitian ,130.0,Jewelry,4.664630782215899,15.0,1,Friday,4
36,4.1,Stormy,Low ,motorcycle ,Urban ,110.0,Cosmetics,7.589769422472331,5.0,5,Saturday,3
26,4.3,Sandstorms,Low ,motorcycle ,Urban ,105.0,Jewelry,7.705941974795929,10.0,11,Friday,2
38,4.9,Cloudy,High ,scooter ,Urban ,125.0,Shoes,6.164143763345328,5.0,11,Friday,2
32,3.5,Stormy,Jam ,scooter ,Urban ,35.0,Grocery,24.031775270041678,10.0,8,Tuesday,3
32,4.6,Cloudy,Low ,scooter ,Metropolitian ,150.0,Sports,19.8806889061088,10.0,2,Saturday,4
33,4.9,Sunny,Medium ,motorcycle ,Metropolitian ,110.0,Jewelry,10.706184356730288,15.0,8,Tuesday,3
20,4.7,Windy,High ,scooter ,Urban ,50.0,Toys,6.117369061558013,10.0,3,Sunday,4
20,4.8,Sandstorms,Low ,scooter ,Metropolitian ,95.0,Kitchen,1.51798712661804,10.0,30,Wednesday,3
35,5.0,Sunny,Low ,scooter ,Urban ,55.0,Clothing,3.06801652533814,10.0,1,Friday,4
26,4.9,Stormy,Low ,scooter ,Metropolitian ,55.0,Kitchen,3.0990100939446292,15.0,28,Monday,3
22,4.8,Fog,Low ,motorcycle ,Metropolitian ,140.0,Books,10.846013590626095,10.0,18,Friday,3
35,4.3,Cloudy,Medium ,motorcycle ,Metropolitian ,33.0,Grocery,10.844094035055107,5.0,14,Monday,3
37,4.7,Sandstorms,Jam ,motorcycle ,Metropolitian ,260.0,Clothing,13.661199383826538,5.0,4,Monday,4
28,4.6,Stormy,Jam ,scooter ,Metropolitian ,110.0,Cosmetics,16.79799879130621,15.0,8,Tuesday,3
37,4.9,Fog,Low ,scooter ,Urban ,16.0,Grocery,2.869338953366241,5.0,13,Sunday,2
23,4.9,Sunny,Jam ,van,Metropolitian ,55.0,Apparel,9.1598473686937,5.0,24,Thursday,3
27,4.9,Windy,Medium ,scooter ,Metropolitian ,125.0,Snacks,9.296712100181105,15.0,19,Saturday,3
37,4.8,Cloudy,Medium ,motorcycle ,Urban ,130.0,Jewelry,6.196805343667927,10.0,9,Wednesday,3
33,5.0,Sunny,High ,scooter ,Metropolitian ,90.0,Shoes,1.5179748068733323,10.0,19,Saturday,3
31,4.9,Fog,Medium ,motorcycle ,Metropolitian ,80.0,Books,4.430185263315982,5.0,3,Sunday,4
31,4.8,Stormy,Low ,scooter ,Metropolitian ,115.0,Cosmetics,17.044988256333504,10.0,25,Friday,3
25,5.0,Cloudy,Low ,motorcycle ,Metropolitian ,75.0,Home,20.990188064096646,15.0,13,Sunday,2
28,4.8,Sandstorms,Jam ,motorcycle ,Metropolitian ,180.0,Kitchen,12.43888855192116,10.0,4,Monday,4
31,4.7,Cloudy,Low ,motorcycle ,Metropolitian ,80.0,Clothing,9.107220024938373,15.0,26,Saturday,3
24,4.7,Sunny,Medium ,motorcycle ,Urban ,95.0,Snacks,13.994592406584347,5.0,10,Thursday,3
39,4.6,Sunny,Low ,motorcycle ,Metropolitian ,135.0,Jewelry,13.377332859549806,15.0,14,Monday,2
39,4.2,Fog,Jam ,scooter ,Semi-Urban ,245.0,Apparel,22.535182388198077,15.0,2,Wednesday,3
32,4.5,Windy,Low ,scooter ,Other,100.0,Shoes,1.4881912567305338,15.0,26,Saturday,3
36,4.7,Cloudy,Jam ,motorcycle ,Metropolitian ,150.0,Sports,21.762350253657587,5.0,13,Sunday,3
25,4.8,Sandstorms,Low ,scooter ,Urban ,90.0,Cosmetics,11.902753837483976,10.0,29,Tuesday,3
33,4.9,Sunny,Jam ,scooter ,Metropolitian ,110.0,Books,4.654256824131882,5.0,30,Wednesday,3
30,4.4,Cloudy,Low ,scooter ,Metropolitian ,170.0,Shoes,10.624594799022988,15.0,12,Saturday,3
33,5.0,Sandstorms,Low ,motorcycle ,Urban ,120.0,Jewelry,16.790293751513897,5.0,31,Thursday,3
36,4.9,Fog,Medium ,scooter ,Metropolitian ,85.0,Pet Supplies,6.118069582492733,15.0,17,Thursday,3
21,4.8,Sandstorms,Low ,van,Metropolitian ,70.0,Shoes,2.992439854305071,10.0,15,Tuesday,2
39,4.9,Stormy,Jam ,motorcycle ,Metropolitian ,150.0,Skincare,7.335684979628153,5.0,15,Tuesday,2
23,4.8,Stormy,Low ,scooter ,Metropolitian ,15.0,Grocery,20.844056260167147,10.0,7,Monday,3
35,4.8,Fog,Medium ,scooter ,Urban ,80.0,Apparel,21.1930798614046,10.0,28,Monday,3
39,4.6,Cloudy,Jam ,scooter ,Metropolitian ,180.0,Home,13.944598794232533,5.0,16,Wednesday,3
22,4.7,Sunny,High ,scooter ,Urban ,90.0,Sports,6.071959804867507,5.0,17,Thursday,3
32,4.6,Fog,Medium ,scooter ,Metropolitian ,85.0,Outdoors,6.071422120848535,15.0,15,Tuesday,3
24,4.8,Sandstorms,Low ,motorcycle ,Urban ,75.0,Apparel,22.535182388198077,5.0,25,Friday,3
29,4.7,Fog,Low ,motorcycle ,Metropolitian ,85.0,Books,20.844056260167147,10.0,9,Wednesday,3
26,4.7,Fog,Low ,motorcycle ,Metropolitian ,50.0,Shoes,9.204061108012812,15.0,5,Saturday,3
20,4.5,Fog,Jam ,motorcycle ,Metropolitian ,135.0,Sports,21.451121148675174,15.0,11,Friday,2
35,4.1,Sandstorms,Jam ,motorcycle ,Metropolitian ,185.0,Pet Supplies,13.942135995521298,15.0,12,Saturday,3
39,4.6,Fog,Jam ,scooter ,Metropolitian ,220.0,Electronics,13.945658037651098,10.0,29,Tuesday,3
34,4.7,Windy,High ,van,Metropolitian ,140.0,Snacks,6.049848888721861,10.0,19,Saturday,3
27,4.7,Cloudy,Jam ,scooter ,Metropolitian ,210.0,Apparel,17.04433026158702,15.0,10,Thursday,3
30,4.8,Windy,Low ,motorcycle ,Metropolitian ,125.0,Sports,24.031775270041678,15.0,16,Wednesday,2
25,4.4,Cloudy,Medium ,scooter ,Metropolitian ,195.0,Jewelry,17.039320664078645,5.0,27,Sunday,3
25,4.7,Stormy,Medium ,motorcycle ,Urban ,100.0,Electronics,16.790293751513897,5.0,27,Sunday,3
30,5.0,Stormy,High ,motorcycle ,Metropolitian ,155.0,Kitchen,2.976038261804114,5.0,24,Thursday,3
24,4.6,Stormy,Jam ,motorcycle ,Metropolitian ,65.0,Home,9.204543446314432,10.0,9,Wednesday,3
39,4.8,Stormy,Jam ,motorcycle ,Metropolitian ,140.0,Home,7.648215327844156,15.0,3,Thursday,3
25,4.8,Windy,High ,scooter ,Urban ,95.0,Snacks,6.164026189217134,5.0,15,Tuesday,2
37,4.6,Fog,Low ,motorcycle ,Urban ,210.0,Kitchen,12.189899417672075,15.0,18,Friday,2
24,5.0,Fog,Low ,motorcycle ,Metropolitian ,115.0,Electronics,1.5496181081271545,5.0,1,Tuesday,3
25,4.2,Stormy,Jam ,motorcycle ,Metropolitian ,195.0,Cosmetics,16.872927418719993,15.0,23,Wednesday,3
32,4.6,Stormy,Low ,motorcycle ,Metropolitian ,125.0,Outdoors,1.1991860135242336,10.0,1,Friday,4
34,4.7,Sandstorms,Low ,scooter ,Metropolitian ,75.0,Clothing,3208.6647452674797,5.0,16,Wednesday,2
38,4.9,Cloudy,Low ,scooter ,Urban ,75.0,Books,3.020706639820848,15.0,11,Friday,3
36,4.8,Sunny,Medium ,van,Metropolitian ,75.0,Home,13.391515800864783,5.0,14,Monday,3
25,5.0,Stormy,Jam ,motorcycle ,Metropolitian ,75.0,Electronics,16.695945260595646,15.0,18,Friday,3
29,5.0,Sunny,Low ,motorcycle ,Metropolitian ,90.0,Outdoors,7.756832982430433,5.0,1,Friday,4
36,4.7,Sandstorms,Low ,van,Metropolitian ,145.0,Clothing,13.750484667228939,10.0,4,Monday,4
33,4.7,Fog,Low ,motorcycle ,Metropolitian ,100.0,Snacks,7.774259486970199,5.0,11,Friday,3
36,4.4,Cloudy,High ,scooter ,Metropolitian ,195.0,Skincare,6.2054267911859675,15.0,13,Sunday,3
21,4.8,Windy,Low ,motorcycle ,Metropolitian ,95.0,Sports,16.824024800777703,15.0,4,Friday,3
25,4.8,Cloudy,Low ,scooter ,Urban ,19.0,Grocery,4.601882860108752,15.0,26,Saturday,3
23,4.8,Windy,Low ,motorcycle ,Metropolitian ,85.0,Electronics,19.846613904419858,10.0,16,Wednesday,3
25,4.6,Stormy,Low ,motorcycle ,Urban ,75.0,Books,1.55490238236473,15.0,1,Tuesday,3
24,4.3,Sandstorms,Low ,motorcycle ,Urban ,95.0,Apparel,3.020916215301368,15.0,15,Tuesday,3
27,4.6,Sandstorms,Jam ,motorcycle ,Metropolitian ,145.0,Apparel,13.94442758388673,15.0,4,Friday,3
23,4.8,Cloudy,Low ,scooter ,Urban ,110.0,Jewelry,16.80256330471995,5.0,18,Friday,3
21,4.3,Fog,Jam ,scooter ,Metropolitian ,210.0,Books,20.16747676677057,10.0,23,Wednesday,3
27,4.7,Sandstorms,Low ,scooter ,Urban ,60.0,Sports,3.035902790349682,15.0,15,Tuesday,3
32,4.2,Cloudy,Jam ,motorcycle ,Metropolitian ,190.0,Skincare,20.212460530271784,10.0,8,Tuesday,3
25,4.6,Sunny,Low ,motorcycle ,Metropolitian ,115.0,Outdoors,16.6952795873628,15.0,10,Thursday,3
39,4.7,Cloudy,Low ,scooter ,Metropolitian ,75.0,Books,2.980982302644137,15.0,11,Friday,2
27,4.6,Sunny,Low ,motorcycle ,Metropolitian ,120.0,Shoes,12.142518774381282,5.0,14,Monday,3
39,3.8,Windy,Jam ,motorcycle ,Metropolitian ,185.0,Books,16.79399979607481,5.0,16,Wednesday,3
31,4.8,Sandstorms,Low ,scooter ,Metropolitian ,120.0,Sports,7.747259356563763,10.0,1,Tuesday,3
31,4.8,Sunny,Low ,van,Metropolitian ,65.0,Kitchen,6.8148139283375295,5.0,1,Tuesday,3
20,4.8,Cloudy,Low ,motorcycle ,Other,80.0,Sports,1.5514770796415485,15.0,30,Wednesday,3
36,4.9,Cloudy,Medium ,motorcycle ,Urban ,210.0,Cosmetics,8.994863156805746,10.0,2,Wednesday,3
20,4.9,Sandstorms,Low ,motorcycle ,Metropolitian ,85.0,Toys,10.25015358257771,10.0,20,Sunday,3
24,4.6,Cloudy,Jam ,motorcycle ,Metropolitian ,125.0,Jewelry,4.464417671579878,15.0,3,Sunday,4
39,4.2,Fog,Medium ,scooter ,Metropolitian ,195.0,Clothing,16.610672955997153,5.0,29,Tuesday,3
37,4.8,Sunny,High ,scooter ,Metropolitian ,90.0,Shoes,6.219419664894865,10.0,17,Thursday,3
32,4.9,Sandstorms,Medium ,motorcycle ,Metropolitian ,140.0,Books,6.196805343667927,10.0,17,Thursday,3
22,4.5,Sandstorms,Low ,scooter ,Metropolitian ,90.0,Skincare,7.4519201744257,15.0,15,Tuesday,2
23,4.9,Windy,Low ,scooter ,Metropolitian ,90.0,Clothing,20.212460530271784,15.0,18,Friday,3
33,4.7,Fog,Jam ,scooter ,Metropolitian ,245.0,Apparel,12.27717778926906,10.0,8,Tuesday,3
23,4.633780473846858,Sunny,Low ,motorcycle ,Metropolitian ,75.0,Snacks,3.789846616736771,10.0,17,Thursday,2
27,4.6,Sunny,Low ,motorcycle ,Metropolitian ,105.0,Pet Supplies,12.396712257294284,5.0,31,Thursday,3
34,4.7,Sunny,High ,scooter ,Metropolitian ,115.0,Toys,6.108440050157439,15.0,1,Tuesday,3
26,5.0,Fog,Low ,scooter ,Urban ,55.0,Sports,1.5180601842214017,10.0,3,Sunday,4
31,4.6,Cloudy,Jam ,motorcycle ,Metropolitian ,125.0,Snacks,9.0744717731442,15.0,24,Thursday,3
32,4.9,Fog,Low ,motorcycle ,Metropolitian ,90.0,Books,3.059241752280784,5.0,7,Monday,3
27,4.7,Cloudy,Low ,motorcycle ,Metropolitian ,70.0,Shoes,3.020731790895242,5.0,9,Wednesday,3
21,4.9,Windy,Medium ,motorcycle ,Metropolitian ,180.0,Pet Supplies,13.945658037651098,15.0,12,Saturday,3
28,4.8,Fog,Low ,motorcycle ,Metropolitian ,90.0,Kitchen,7.747793362638613,5.0,24,Thursday,3
24,4.9,Fog,Medium ,scooter ,Urban ,85.0,Toys,21.1930798614046,15.0,30,Wednesday,3
33,4.4,Sandstorms,Low ,motorcycle ,Metropolitian ,140.0,Electronics,1.534129114265342,10.0,5,Saturday,3
20,4.6,Fog,Jam ,motorcycle ,Metropolitian ,220.0,Home,13.945629461520332,15.0,18,Friday,3
31,4.3,Windy,Low ,motorcycle ,Metropolitian ,100.0,Toys,9.329319541894728,15.0,13,Sunday,3
36,5.0,Fog,Jam ,motorcycle ,Metropolitian ,175.0,Shoes,10.586720360323753,10.0,31,Thursday,3
31,4.2,Sandstorms,Jam ,motorcycle ,Metropolitian ,50.0,Grocery,17.042634005428827,10.0,23,Wednesday,3
39,4.1,Stormy,Jam ,scooter ,Metropolitian ,170.0,Electronics,9.204512751051547,5.0,24,Thursday,3
29,4.6,Sunny,Jam ,van,Metropolitian ,85.0,Outdoors,12.142670416282547,15.0,12,Saturday,3
29,4.6,Sandstorms,High ,scooter ,Urban ,115.0,Apparel,6.071413761024368,10.0,3,Thursday,3
37,4.9,Fog,Medium ,motorcycle ,Metropolitian ,135.0,Books,4.6646029783419385,10.0,9,Wednesday,3
33,4.7,Cloudy,High ,motorcycle ,Urban ,130.0,Skincare,21.1930798614046,10.0,17,Thursday,3
31,3.9,Cloudy,Low ,scooter ,Metropolitian ,175.0,Pet Supplies,10.69100092566136,10.0,18,Friday,3
37,4.6,Windy,High ,motorcycle ,Urban ,205.0,Outdoors,21.1930798614046,5.0,19,Saturday,3
26,4.4,Sandstorms,Low ,motorcycle ,Other,115.0,Toys,9.296531667508525,10.0,7,Monday,3
24,4.6,Stormy,Medium ,motorcycle ,Metropolitian ,150.0,Clothing,17.10252275797518,10.0,4,Friday,3
23,4.8,Windy,Low ,scooter ,Metropolitian ,95.0,Pet Supplies,20.844056260167147,10.0,3,Sunday,4
36,4.9,Windy,Low ,scooter ,Metropolitian ,135.0,Electronics,20.755883340140397,15.0,11,Friday,3
39,4.8,Cloudy,High ,motorcycle ,Metropolitian ,140.0,Cosmetics,6.205591081602371,15.0,1,Friday,4
20,4.7,Sandstorms,Medium ,motorcycle ,Metropolitian ,120.0,Toys,12.438452034187614,10.0,20,Sunday,3
20,5.0,Cloudy,Jam ,motorcycle ,Urban ,180.0,Sports,20.166286848244525,15.0,31,Thursday,3
29,4.3,Sandstorms,Low ,motorcycle ,Metropolitian ,140.0,Cosmetics,6.890101774487275,5.0,13,Sunday,2
36,4.8,Fog,Medium ,motorcycle ,Urban ,155.0,Snacks,17.103104604488404,5.0,29,Tuesday,3
36,4.0,Sunny,Jam ,motorcycle ,Metropolitian ,220.0,Skincare,13.611105169020725,5.0,16,Wednesday,3
22,4.8,Windy,Low ,scooter ,Metropolitian ,75.0,Cosmetics,8.989761745799544,15.0,14,Monday,3
38,4.4,Windy,Medium ,motorcycle ,Metropolitian ,165.0,Toys,10.704957546119868,5.0,31,Thursday,3
39,4.9,Fog,Jam ,motorcycle ,Metropolitian ,150.0,Cosmetics,7.5891604266055,15.0,17,Thursday,3
24,4.9,Stormy,Medium ,scooter ,Metropolitian ,110.0,Outdoors,7.551948584727422,10.0,28,Monday,3
30,4.1,Fog,Low ,motorcycle ,Metropolitian ,215.0,Sports,22.124522687009016,10.0,4,Monday,4
35,4.8,Fog,Medium ,motorcycle ,Metropolitian ,240.0,Jewelry,13.804873199406153,10.0,4,Friday,3
33,4.5,Stormy,Low ,van,Metropolitian ,95.0,Shoes,13.941657178556436,15.0,4,Friday,3
39,4.7,Windy,Medium ,motorcycle ,Urban ,105.0,Cosmetics,10.900635211617388,5.0,14,Monday,2
31,4.3,Windy,Jam ,motorcycle ,Metropolitian ,220.0,Outdoors,12.099040609550999,10.0,25,Friday,3
37,4.5,Windy,Low ,scooter ,Metropolitian ,130.0,Books,1.5495096221395899,15.0,17,Thursday,3
37,4.7,Windy,Low ,scooter ,Metropolitian ,26.0,Grocery,4.654256824131882,5.0,1,Friday,4
33,5.0,Windy,High ,motorcycle ,Metropolitian ,155.0,Sports,1.5269331229160865,5.0,19,Saturday,3
24,4.6,Stormy,Low ,scooter ,Urban ,19.0,Grocery,21.762350253657587,15.0,7,Monday,3
33,4.5,Sunny,Jam ,scooter ,Metropolitian ,90.0,Kitchen,11.902924672837507,5.0,2,Wednesday,3
39,4.7,Fog,Medium ,motorcycle ,Metropolitian ,190.0,Electronics,10.472797742862058,15.0,16,Wednesday,2
37,4.6,Cloudy,Medium ,motorcycle ,Metropolitian ,160.0,Outdoors,10.081471715521474,10.0,29,Tuesday,3
25,4.9,Sandstorms,Low ,scooter ,Metropolitian ,85.0,Jewelry,7.6696078159334125,5.0,7,Monday,3
28,4.8,Fog,Medium ,scooter ,Urban ,55.0,Books,9.177365744557306,5.0,3,Thursday,3
38,4.7,Windy,High ,motorcycle ,Metropolitian ,155.0,Cosmetics,6.205474967025106,10.0,30,Wednesday,3
31,4.6,Windy,Medium ,motorcycle ,Metropolitian ,125.0,Skincare,9.308258482124039,10.0,19,Saturday,3
25,4.8,Cloudy,Jam ,motorcycle ,Metropolitian ,110.0,Jewelry,9.164099415262326,15.0,15,Tuesday,3
35,4.9,Fog,Jam ,motorcycle ,Metropolitian ,215.0,Skincare,10.858950700039365,5.0,2,Wednesday,3
39,4.7,Fog,Jam ,motorcycle ,Metropolitian ,210.0,Home,7.922804728908756,10.0,31,Thursday,3
38,3.9,Stormy,Jam ,motorcycle ,Metropolitian ,210.0,Kitchen,12.082423061297098,10.0,6,Sunday,3
35,4.7,Fog,Jam ,motorcycle ,Metropolitian ,170.0,Snacks,4.647989333607506,10.0,21,Monday,3
29,4.7,Sandstorms,Low ,motorcycle ,Metropolitian ,85.0,Sports,2.977717993714077,15.0,1,Tuesday,3
27,4.6,Stormy,Jam ,scooter ,Metropolitian ,125.0,Pet Supplies,4.5541509794301644,5.0,24,Thursday,3
38,4.3,Sandstorms,Jam ,motorcycle ,Semi-Urban ,265.0,Clothing,13.962004343954739,10.0,4,Monday,4
36,4.9,Windy,Low ,motorcycle ,Metropolitian ,105.0,Electronics,10.625702124383546,15.0,2,Wednesday,3
26,4.0,Cloudy,High ,motorcycle ,Metropolitian ,170.0,Snacks,6.136519522327368,10.0,1,Friday,4
26,4.1,Fog,Jam ,motorcycle ,Metropolitian ,180.0,Pet Supplies,13.41246037752413,5.0,12,Saturday,2
36,4.9,Sunny,Medium ,motorcycle ,Metropolitian ,85.0,Cosmetics,9.308662119355633,10.0,5,Tuesday,4
21,4.7,Sunny,Low ,motorcycle ,Metropolitian ,80.0,Electronics,1.4880598281970034,10.0,3,Thursday,3
35,4.7,Sunny,Jam ,van,Metropolitian ,135.0,Apparel,12.39395555693745,5.0,6,Wednesday,4
20,4.5,Fog,High ,motorcycle ,Metropolitian ,130.0,Kitchen,6.20545250887856,5.0,17,Thursday,3
23,4.6,Fog,Jam ,motorcycle ,Metropolitian ,230.0,Home,13.764250249667594,15.0,31,Thursday,3
37,5.0,Sunny,Jam ,motorcycle ,Metropolitian ,145.0,Sports,6.890019442370261,10.0,17,Thursday,2
26,4.8,Sandstorms,Jam ,motorcycle ,Metropolitian ,115.0,Shoes,9.297076456518703,5.0,9,Wednesday,3
29,5.0,Sandstorms,Low ,scooter ,Urban ,55.0,Sports,12.142486110300185,15.0,27,Sunday,3
26,4.9,Stormy,Medium ,motorcycle ,Metropolitian ,140.0,Apparel,16.612635818204165,15.0,25,Friday,3
29,4.8,Cloudy,Jam ,motorcycle ,Metropolitian ,125.0,Electronics,9.177225998300312,5.0,11,Friday,3
29,4.7,Sandstorms,Low ,motorcycle ,Metropolitian ,55.0,Snacks,3.013958870983999,15.0,3,Thursday,3
21,4.9,Windy,Medium ,scooter ,Metropolitian ,130.0,Electronics,4.391724962431039,10.0,15,Tuesday,2
22,4.3,Stormy,Low ,motorcycle ,Metropolitian ,115.0,Apparel,3.1028522086456105,15.0,7,Monday,3
31,4.0,Fog,Medium ,motorcycle ,Metropolitian ,195.0,Kitchen,11.902753837483976,15.0,18,Friday,3
20,4.5,Fog,Low ,motorcycle ,Other,55.0,Apparel,3.1098846908757523,10.0,3,Sunday,4
30,3.9,Stormy,Jam ,van,Metropolitian ,160.0,Apparel,12.09895659021292,15.0,6,Wednesday,4
36,4.8,Fog,Medium ,motorcycle ,Metropolitian ,215.0,Shoes,10.846831683112223,15.0,6,Sunday,3
24,4.7,Fog,Medium ,scooter ,Metropolitian ,65.0,Cosmetics,6.205738534229064,10.0,19,Saturday,3
32,4.7,Windy,Low ,van,Metropolitian ,125.0,Jewelry,1.5513238067891462,10.0,21,Monday,3
25,5.0,Windy,Medium ,motorcycle ,Metropolitian ,135.0,Clothing,9.294705791241629,5.0,19,Saturday,3
27,4.5,Windy,Medium ,scooter ,Metropolitian ,145.0,Skincare,6.136227883482838,15.0,28,Monday,3
32,4.1,Sandstorms,Medium ,motorcycle ,Metropolitian ,165.0,Skincare,10.845889966900735,15.0,29,Tuesday,3
23,4.7,Fog,Medium ,motorcycle ,Urban ,19.0,Grocery,6.19703893141132,5.0,17,Thursday,3
39,4.4,Sunny,Medium ,motorcycle ,Metropolitian ,165.0,Shoes,20.14112443663039,5.0,29,Tuesday,3
20,4.8,Fog,Jam ,motorcycle ,Metropolitian ,140.0,Apparel,21.762350253657587,5.0,21,Monday,3
20,4.8,Windy,Medium ,van,Other,75.0,Cosmetics,11.905861749702474,10.0,4,Friday,3
29,4.6,Stormy,Jam ,scooter ,Metropolitian ,145.0,Skincare,4.488577625714156,15.0,15,Tuesday,2
26,4.9,Stormy,Low ,scooter ,Metropolitian ,90.0,Snacks,20.827572697496162,5.0,29,Tuesday,3
25,5.0,Stormy,Low ,motorcycle ,Metropolitian ,70.0,Apparel,1.557337963675556,5.0,13,Sunday,2
34,4.7,Windy,Medium ,motorcycle ,Metropolitian ,150.0,Shoes,6.1983397369141935,15.0,3,Sunday,4
31,4.9,Sunny,High ,motorcycle ,Metropolitian ,140.0,Toys,6.163798689174008,15.0,13,Sunday,2
24,4.7,Fog,Jam ,motorcycle ,Metropolitian ,195.0,Cosmetics,25.223283616539824,5.0,16,Wednesday,3
30,4.9,Cloudy,Medium ,motorcycle ,Metropolitian ,150.0,Skincare,13.805626960611738,15.0,2,Saturday,4
36,4.8,Sandstorms,Medium ,motorcycle ,Metropolitian ,180.0,Apparel,19.351082464681973,5.0,20,Sunday,3
36,4.4,Fog,Low ,motorcycle ,Metropolitian ,185.0,Home,20.832850885766774,15.0,29,Tuesday,3
26,4.7,Cloudy,Jam ,motorcycle ,Metropolitian ,215.0,Apparel,20.827407215134496,5.0,4,Friday,3
30,4.6,Sunny,Low ,scooter ,Other,145.0,Apparel,16.635239139962547,10.0,27,Sunday,3
20,4.8,Stormy,Medium ,scooter ,Metropolitian ,125.0,Shoes,20.990188064096646,15.0,11,Friday,2
33,4.7,Fog,Medium ,van,Urban ,75.0,Books,7.747301749382407,15.0,9,Wednesday,3
34,4.0,Windy,Jam ,motorcycle ,Metropolitian ,195.0,Clothing,13.743748712643285,5.0,12,Saturday,3
36,4.6,Windy,Low ,motorcycle ,Metropolitian ,100.0,Clothing,12.271931674507936,10.0,4,Monday,4
33,4.6,Fog,Low ,motorcycle ,Metropolitian ,75.0,Apparel,2.9810670001645105,10.0,11,Friday,2
22,4.8,Sandstorms,Low ,motorcycle ,Metropolitian ,80.0,Jewelry,16.760840661943323,15.0,18,Friday,2
38,4.7,Sunny,Low ,scooter ,Metropolitian ,95.0,Clothing,1.5294048118807104,15.0,19,Saturday,3
27,4.9,Fog,Low ,scooter ,Metropolitian ,100.0,Kitchen,12.396903135321155,15.0,2,Wednesday,3
32,4.8,Sunny,Jam ,scooter ,Metropolitian ,125.0,Books,10.432310169081864,10.0,14,Monday,2
26,4.8,Cloudy,Jam ,motorcycle ,Metropolitian ,215.0,Home,12.396259636749217,10.0,27,Sunday,3
